heure,jour_semaine,camions_entrants,niveau_stock,temperature,temps_attente_min
6,6,18,3341,16.9,50.6
19,1,6,645,28.5,11.8
14,0,3,2561,23.9,12.2
10,3,19,4446,32.4,50.9
7,2,15,4954,18.5,23.6
20,3,5,1904,28.9,16.5
6,3,10,3312,31.8,22.8
18,1,7,3910,33.9,13.1
22,2,17,913,28.7,38.3
10,3,7,4224,24.9,16.8
10,0,12,2132,27.4,32.4
23,0,17,4672,32.4,35.7
20,4,13,4513,26.4,33.4
3,2,4,344,15.6,12.9
7,2,10,4943,33.6,34.3
23,4,3,4892,28.8,2.1
2,3,9,371,28.5,20.8
21,2,13,3611,19.3,33.8
20,0,18,1871,28.2,50.7
1,0,15,1362,22.9,36.0
23,1,4,2524,28.0,16.0
11,2,15,4461,17.1,27.8
5,3,2,1020,28.2,0.0
1,4,15,3530,35.0,39.2
20,4,8,4535,16.0,12.9
0,3,8,4584,34.5,14.1
11,6,17,2724,23.1,39.9
21,5,12,3860,32.4,33.9
11,1,19,2150,30.6,38.0
16,4,10,3600,26.3,25.9
9,2,9,1265,29.8,27.7
15,1,5,475,32.6,11.5
14,2,6,2133,23.1,13.2
14,6,2,245,21.5,7.0
18,0,13,4488,28.4,31.5
11,1,6,531,31.2,22.0
22,4,5,804,30.2,6.9
19,1,1,2732,31.0,2.2
2,1,6,4594,23.7,16.0
4,1,6,1063,31.4,13.1
18,5,16,2334,17.4,25.6
6,1,4,2141,25.9,9.2
20,2,11,1928,15.1,32.0
8,0,9,2208,21.5,26.4
6,6,3,4168,22.3,9.3
17,3,19,1038,22.9,42.0
3,1,8,4905,28.9,22.0
13,4,5,906,22.8,9.6
17,1,4,1563,24.0,11.8
8,4,6,3515,19.8,15.6
20,2,2,110,22.5,0.1
1,4,11,1968,19.5,23.0
19,3,4,4967,16.5,11.8
14,0,15,984,27.1,36.4
6,4,6,3664,28.4,10.8
11,4,17,1489,27.4,37.9
7,0,6,3501,24.3,13.5
14,3,19,4421,22.6,55.3
2,1,2,924,32.3,2.4
13,4,15,2365,25.4,37.4
16,0,11,1036,24.6,28.0
3,2,8,2900,15.5,14.3
17,0,19,2653,21.8,38.7
7,2,13,3945,22.6,27.4
3,3,12,1896,23.0,31.2
1,1,5,153,26.6,12.9
5,0,6,826,25.7,18.5
21,6,4,2836,27.2,10.5
9,6,19,3270,30.3,47.0
3,5,1,2013,31.3,0.0
21,4,17,1696,29.4,46.9
17,3,12,2014,34.1,25.4
11,0,15,2566,15.4,31.9
1,6,1,2837,18.9,5.3
9,4,14,949,15.2,28.3
3,6,6,2209,27.9,27.1
13,0,5,102,33.0,12.9
15,2,11,4355,19.9,29.2
14,0,4,4169,33.5,6.0
7,5,13,4976,16.2,30.9
13,0,11,992,33.7,25.4
22,0,3,2130,22.0,4.8
7,5,1,3260,17.0,5.7
20,3,6,2476,24.7,12.8
15,0,18,4775,20.1,50.1
12,5,10,2033,20.7,38.3
17,4,5,1480,21.1,11.0
14,2,10,3781,31.1,25.8
20,2,12,1390,25.8,31.9
23,0,2,1740,21.2,14.1
12,3,13,2782,27.2,32.1
8,3,8,1087,29.3,15.9
14,4,2,1318,20.5,0.0
12,0,1,1455,23.3,2.2
0,2,5,4365,17.4,10.3
6,3,9,4716,18.6,32.6
8,0,17,4235,28.6,51.3
23,6,9,1660,18.6,17.3
0,3,11,1518,25.5,23.9
11,5,15,1054,29.2,37.9
7,6,6,1083,17.1,22.0
23,3,3,1074,26.3,7.8
10,2,17,4233,20.1,39.3
18,1,5,4072,34.3,12.2
16,6,12,1013,24.7,26.9
7,4,18,4649,31.1,48.0
2,4,14,136,26.0,31.5
2,2,11,3487,15.9,24.9
0,3,9,1811,27.7,28.3
4,0,2,3120,34.0,1.2
9,3,12,895,27.0,22.8
6,2,3,4136,31.4,8.0
8,4,3,4788,32.7,5.7
6,3,1,3211,19.6,5.1
8,4,8,1424,19.2,21.6
7,6,8,417,27.2,19.8
11,0,11,2496,23.2,27.2
1,6,9,2262,31.8,18.8
0,4,5,2845,33.0,12.9
15,4,14,1691,22.1,39.4
22,1,3,3211,19.7,2.6
22,1,5,4030,30.6,12.5
23,6,5,2096,20.5,17.7
4,5,19,1412,31.5,50.0
2,6,14,1385,23.5,41.5
11,1,4,4411,28.4,7.2
7,4,13,2483,16.9,23.3
21,2,10,3339,27.5,26.0
2,6,18,2239,24.0,46.8
0,4,8,1804,26.7,26.8
2,2,8,462,18.4,25.9
4,2,7,2704,29.7,20.2
14,1,8,1816,32.3,23.8
13,6,14,4551,19.3,34.0
2,3,19,4386,16.9,41.4
0,0,6,3838,15.5,15.6
4,1,1,2569,27.8,7.4
22,1,15,4895,27.1,40.8
13,3,1,656,25.9,6.7
6,0,17,925,19.6,40.4
8,4,1,2908,22.8,1.2
14,5,15,4621,26.9,39.9
14,6,2,2819,24.9,2.3
9,5,14,3608,34.8,32.4
12,4,8,3841,17.7,21.5
18,1,8,1674,28.9,23.8
